13.800000	0.660974	-11.530059	-10.869085
13.900000	0.764666	-12.791392	-12.026726
14.000000	0.878863	-13.904875	-13.026011
14.100000	1.002427	-14.857122	-13.854695
14.200000	1.134123	-15.636170	-14.502046
14.300000	1.272640	-16.231620	-14.958980
14.400000	1.416595	-16.634769	-15.218174
14.500000	1.564552	-16.838725	-15.274173
14.600000	1.715035	-16.838500	-15.123464
14.700000	1.866544	-16.631095	-14.764550
14.800000	2.017567	-16.215555	-14.197989
14.900000	2.166597	-15.593014	-13.426417
15.000000	2.312148	-14.766708	-12.454560
15.100000	2.452768	-13.741975	-11.289207
15.200000	2.587054	-12.526233	-9.939178
15.300000	2.713668	-11.128928	-8.415260
15.400000	2.831345	-9.561473	-6.730129
15.500000	2.938912	-7.837157	-4.898245
15.600000	3.035296	-5.971032	-2.935737
15.700000	3.119535	-3.979792	-0.860257
15.800000	3.190790	-1.881618	1.309172
15.900000	3.248350	0.303982	3.552332
16.000000	3.291639	2.556355	5.847994
16.100000	3.320228	4.853896	8.174124
16.200000	3.333829	7.174259	10.508088
16.300000	3.332309	9.494568	12.826877
16.400000	3.315681	11.791648	15.107329
16.500000	3.284112	14.042254	17.326367
16.600000	3.237917	16.223307	19.461223
16.700000	3.177556	18.312127	21.489683
16.800000	3.103631	20.286676	23.390307
16.900000	3.016881	22.125781	25.142662
17.000000	2.918169	23.809368	26.727537
17.100000	2.808482	25.318672	28.127154
17.200000	2.688913	26.636451	29.325364
17.300000	2.560654	27.747174	30.307828
17.400000	2.424986	28.637202	31.062188
17.500000	2.283261	29.294951	31.578212
17.600000	2.136893	29.711033	31.847926
17.700000	1.987343	29.878376	31.865719
17.800000	1.836101	29.792328	31.628430
17.900000	1.684677	29.450731	31.135408
18.000000	1.534581	28.853970	30.388552
18.100000	1.387311	28.005004	29.392315
